importateur,npa,commune,canton,litres_rouge,litres_blanc,litres_total,noga_code,noga_label,commentaire,groupe,pays
Magretra GmbH,8307,Effretikon,ZH,669.0,45.0,714.0,,,,,CH
Weinhandlung Kammerlander,8590,Romanshorn,TG,306.0,405.0,711.0,,,,,CH
Guiomar Factory Mara Pires Guiomar,2034,Peseux,NE,542.0,160.0,702.0,,,,,CH
JS Erlebnis-Gastronomie &,9200,Gossau SG,SG,215.0,486.0,701.0,,,,,CH
Atlante Développement Sàrl,1276,Gingins,VD,478.0,221.0,699.0,,,,,CH
Gourmet Wine Travel GmbH,8610,Uster,ZH,492.0,207.0,699.0,,,,,CH
Big Hop Sagl,6865,Tremona,TI,360.0,329.0,689.0,,,,,CH
ViWa.club Sàrl,1110,Morges,VD,416.0,272.0,688.0,,,,,CH
Salvi Gipserei S. Amato,8192,Glattfelden,ZH,687.0,0.0,687.0,,,,,CH
Ristorante-Pizzeria Don Ciccio Barbiero,3906,Saas-Fee,VS,573.0,113.0,686.0,,,,,CH
Wunderli Vins,1803,Chardonne,VD,572.0,113.0,685.0,,,,,CH
Rattu Penugu GmbH,8700,Küsnacht ZH,ZH,501.0,183.0,684.0,,,,,CH
Paul Oberhauser,9490,Vaduz,FL,180.0,504.0,684.0,,,,,LI
Tempo di vino Lezzi,1762,Givisiez,FR,560.0,122.0,682.0,,,,,CH
Martin Riedi,3783,Grund bei Gstaad,BE,455.0,225.0,680.0,,,,,CH
Stegemann Art,8614,Bertschikon (Gossau ZH),ZH,478.0,202.0,680.0,,,,,CH
Wüthrich Motos,2830,Courrendlin,JU,492.0,185.0,677.0,,,,,CH
Ha6 GmbH,3612,Steffisburg,BE,591.0,86.0,677.0,,,,,CH
Manz Privacy Hotels Switzerland AG,6302,Zug,ZG,270.0,405.0,675.0,,,,,CH
Wälli AG Ingenieure,9320,Arbon,TG,675.0,0.0,675.0,,,,,CH
Planet Caviar SA,1207,Genève,GE,675.0,0.0,675.0,,,,,CH
North and South GmbH,8704,Herrliberg,ZH,0.0,675.0,675.0,,,,,CH
Pimus Sàrl,2738,Court,BE,585.0,86.0,671.0,,,,,CH
Klimats Beaune-Canton de Neuchâtel,2023,Gorgier,NE,531.0,139.0,670.0,,,,,CH
The Gentlemalt Andy Muster,2747,Corcelles BE,BE,522.0,144.0,666.0,,,,,CH
V-INSPIRATION KALTENEGGER,7310,Bad Ragaz,GR,180.0,482.0,662.0,,,,,CH
Factory21 GmbH,8002,Zürich,ZH,103.0,558.0,661.0,,,,,CH
Thelo Sàrl,1203,Genève,GE,393.0,266.0,659.0,,,,,CH
Foodproject Sagl,6654,Cavigliano,TI,500.0,158.0,658.0,,,,,CH
The Epicur'Yann Greset,8006,Zürich,ZH,396.0,261.0,657.0,,,,,CH
"R. Vispo Rivas ""L'Espagnol""",1510,Moudon,VD,510.0,147.0,657.0,,,,,CH
Valento Limited Birmingham,8722,Kaltbrunn,SG,54.0,603.0,657.0,,,,,CH
Gourmandises Siciliennes DRS S.à r.l.,1207,Genève,GE,428.0,225.0,653.0,,,,,CH
Cascina Affolter,4934,Madiswil,BE,529.0,122.0,651.0,,,,,CH
Tender & Loins GmbH,4057,Basel,BS,495.0,156.0,651.0,,,,,CH
Filo d'olio di Salinitro Mattia,6962,Viganello,TI,650.0,0.0,650.0,,,,,CH
EsseCi Servizi di Stefano Cattaneo,6965,Cadro,TI,362.0,284.0,646.0,,,,,CH
Wein- und Getränkehandel Kolonialwaren,6055,Alpnach Dorf,OW,281.0,362.0,643.0,,,,,CH
Simex Trading AG,9050,Appenzell,AR,639.0,0.0,639.0,,,,,CH
RICK SPIRIT SWITZERLAND Peter,8274,Tägerwilen,TG,478.0,158.0,636.0,,,,,CH
Butterflyrebel GmbH,6204,Sempach,LU,519.0,117.0,636.0,,,,,CH
Ruocco Antipasti Manufaktur AG,3054,Schüpfen,BE,406.0,230.0,636.0,,,,,CH
L'ALCHIMISTE Pierre Schneider,1066,Epalinges,VD,405.0,230.0,635.0,,,,,CH
Restaurant & Bar à Vins No 9 Sàrl,2300,La Chaux-de-Fonds,NE,176.0,459.0,635.0,,,,,CH
WoDuVino KLG,3073,Gümligen,BE,486.0,149.0,635.0,,,,,CH
Protos Consulting Sàrl,1820,Montreux,VD,497.0,137.0,634.0,,,,,CH
InParkServices GmbH,5330,Bad Zurzach,AG,509.0,122.0,631.0,,,,,CH
Pascal Bovey,1005,Lausanne,VD,630.0,0.0,630.0,,,,,CH
Roberto Romano,8055,Zürich,ZH,0.0,630.0,630.0,,,,,CH
Oliven & Öl Handelshaus AG,8032,Zürich,ZH,450.0,180.0,630.0,,,,,CH
Greekstore - Goutziomitros,5432,Neuenhof,AG,551.0,77.0,628.0,,,,,CH
CNC Cosmetics GmbH,5200,Brugg AG,AG,495.0,131.0,626.0,,,,,CH
SCT La Bergère SA,3963,Crans-Montana,VS,617.0,9.0,626.0,,,,,CH
Wein & Co Handelsges.m.b.H.,6340,Baar,ZG,422.0,202.0,624.0,,,,,CH
Hedonistica Sàrl,1955,St-Pierre-Clages,VS,596.0,23.0,619.0,,,,,CH
Auberge de la Gabiare Sàrl,2829,Vermes,JU,615.0,0.0,615.0,,,,,CH
Oktoberweine Schweiz Inh. Daniel Wagner,8305,Dietlikon,ZH,336.0,277.0,613.0,,,,,CH
Wine & Hospitality Projects Sàrl,1934,Bruson,VS,450.0,162.0,612.0,,,,,CH
Swiss Classic Sailing AG,8610,Uster,ZH,414.0,198.0,612.0,,,,,CH
Kessenheimer Handel,9450,Altstätten SG,SG,0.0,608.0,608.0,,,,,CH
my vineria Wiser,8003,Zürich,ZH,504.0,104.0,608.0,,,,,CH
Jürg Wirth,7543,Lavin,GR,356.0,252.0,608.0,,,,,CH
Zöllig Weine,8586,Buchackern,TG,491.0,113.0,604.0,,,,,CH
Golden Fruits GmbH,6300,Zug,ZG,601.0,0.0,601.0,,,,,CH
VINIVORE SA,1227,Carouge,GE,45.0,556.0,601.0,,,,,CH
Edeltropfen GmbH,8820,Wädenswil,ZH,425.0,175.0,600.0,,,,,CH
Tamara Karr,8634,Hombrechtikon,ZH,375.0,225.0,600.0,,,,,CH
Angelini Pharma S.p.A. Rom,6301,Zug,ZG,446.0,154.0,600.0,,,,,CH
Anders Bärg Tangible Wines Sàrl,1207,Genève,GE,563.0,36.0,599.0,,,,,CH
Alfies E-Commerce AG,8952,Schlieren,ZH,284.0,313.0,597.0,,,,,CH
"CAFE FLORA ""MANGIA E BEVI""",4127,Birsfelden,BL,441.0,153.0,594.0,,,,,CH
Weine für Geniesser,8185,Winkel,ZH,0.0,594.0,594.0,,,,,CH
VinArtis Trivella,8006,Zürich,ZH,591.0,0.0,591.0,,,,,CH
Restaurant Panorama GmbH,3612,Steffisburg,BE,591.0,0.0,591.0,,,,,CH
RC Accademia della Pizza Sàrl,1958,St-Léonard,VS,589.0,0.0,589.0,,,,,CH
Garinaud Sàrl,2354,Goumois,NE,203.0,383.0,586.0,,,,,CH
Celula Verde Importation Da Cruz,1227,Carouge,GE,540.0,45.0,585.0,,,,,CH
Metz Invest AG,6247,Schötz,LU,585.0,0.0,585.0,,,,,CH
WISE ADVISORS SAGL,6900,Lugano,TI,585.0,0.0,585.0,,,,,CH
Kevin Schneider auserwählte Tropfen,3507,Biglen,BE,353.0,229.0,582.0,,,,,CH
Perenzin Vino,8600,Dübendorf,ZH,360.0,221.0,581.0,,,,,CH
KEAN GmbH,8635,Dürnten,ZH,563.0,18.0,581.0,,,,,CH
Saisonal GmbH,8008,Zürich,ZH,0.0,581.0,581.0,,,,,CH
Panetteria - Pasticceria Mimosa,6517,Arbedo,TI,250.0,329.0,579.0,,,,,CH
Peter Lüthi,8730,Uznach,SG,464.0,113.0,577.0,,,,,CH
In Vino GmbH,6317,Oberwil b. Zug,ZG,185.0,392.0,577.0,,,,,CH
Nolita Sàrl,1217,Meyrin,GE,360.0,216.0,576.0,,,,,CH
Ettinger Immobilien AG,7302,Landquart,GR,494.0,81.0,575.0,,,,,CH
VERDADE Sagl,6987,Caslano,TI,135.0,437.0,572.0,,,,,CH
Zanovello Gilberto,6934,Bioggio,TI,504.0,68.0,572.0,,,,,CH
La Carretta Sellitto,7270,Davos Platz,GR,276.0,295.0,571.0,,,,,CH
rot weiss Roth Weine GmbH,5116,Schinznach Bad,AG,279.0,291.0,570.0,,,,,CH
Office & Trade GmbH,6462,Seedorf UR,UR,315.0,252.0,567.0,,,,,CH
EssBAR KlG,9423,Altenrhein,SG,158.0,409.0,567.0,,,,,CH
Regno di Bacco Sagl,6987,Caslano,TI,356.0,210.0,566.0,,,,,CH
Crovino Inhaber Simic Mario,4710,Balsthal,SO,266.0,300.0,566.0,,,,,CH
Liechtensteiner Brauhaus,9494,Schaan,FL,542.0,24.0,566.0,,,,,LI
BibCom Sàrl,2502,Biel/Bienne,BE,410.0,155.0,565.0,,,,,CH
R&W Group AG,8808,Pfäffikon SZ,SZ,477.0,87.0,564.0,,,,,CH
Schöni Transport AG,4852,Rothrist,AG,203.0,360.0,563.0,,,,,CH
BTB Management Sàrl,1815,Clarens,VD,491.0,72.0,563.0,,,,,CH
BurnHeart's Graf,8117,Fällanden,ZH,357.0,204.0,561.0,,,,,CH
MSoftMed Sàrl,1630,Bulle,FR,302.0,257.0,559.0,,,,,CH
Christoph Goerke Weinhandel,8049,Zürich,ZH,425.0,134.0,559.0,,,,,CH
Produits Régionaux Eugénio Comenda,1609,St-Martin FR,FR,554.0,0.0,554.0,,,,,CH
Swiss Wine Export Sàrl,1195,Bursinel,VD,536.0,18.0,554.0,,,,,CH
Enoteca1620 Holding AG,6490,Andermatt,UR,383.0,171.0,554.0,,,,,CH
Vinothek Getränke GmbH,4500,Solothurn,SO,248.0,302.0,550.0,,,,,CH
BeVino GmbH,6048,Horw,LU,549.0,0.0,549.0,,,,,CH
SWIT AG,3907,Gondo,VS,387.0,162.0,549.0,,,,,CH
Amaroneshop.ch Ralf Grob,8834,Schindellegi,SZ,528.0,18.0,546.0,,,,,CH
Manell GmbH,8706,Meilen,ZH,284.0,261.0,545.0,,,,,CH
Ca' Gottardo SNC,1110,Morges,VD,333.0,212.0,545.0,,,,,CH
keller26 klg,3612,Steffisburg,BE,368.0,177.0,545.0,,,,,CH
boukali wines by takidis,8600,Dübendorf,ZH,338.0,207.0,545.0,,,,,CH
Suter Wine Company,3225,Müntschemier,BE,320.0,221.0,541.0,,,,,CH
Gastro Consulting Santucci,4702,Oensingen,SO,315.0,225.0,540.0,,,,,CH
DocWine SNC,1205,Genève,GE,360.0,180.0,540.0,,,,,CH
Viemae Sàrl,1867,Ollon VD,VD,540.0,0.0,540.0,,,,,CH
Speiserestaurant Gambrinus AG,8570,Weinfelden,TG,0.0,540.0,540.0,,,,,CH
Koru GmbH,8852,Altendorf,SZ,333.0,207.0,540.0,,,,,CH
Argentina Store Lautaro Anfossi,8810,Horgen,ZH,360.0,180.0,540.0,,,,,CH
Stéphane Maillard,2923,Courtemaîche,JU,536.0,0.0,536.0,,,,,CH
Michel Bois titulaire Michel Goy,1860,Aigle,VD,284.0,252.0,536.0,,,,,CH
DELIZIA GmbH,4132,Muttenz,BL,432.0,100.0,532.0,,,,,CH
Alexis Lehmann,4500,Solothurn,SO,248.0,279.0,527.0,,,,,CH
hovia GmbH,6280,Urswil,LU,239.0,288.0,527.0,,,,,CH
AmorDiVino di Giovanni Nicastro,6850,Mendrisio,TI,210.0,315.0,525.0,,,,,CH
Roma Inh. Pinto,8953,Dietikon,ZH,95.0,428.0,523.0,,,,,CH
Weinimport & Weinhandel SCHWARZ,9470,Werdenberg,SG,351.0,172.0,523.0,,,,,CH
Zamboni Weine GmbH,4414,Füllinsdorf,BL,0.0,522.0,522.0,,,,,CH
OUTDOOR ENTERPRISE SA,6534,S. Vittore,GR,515.0,5.0,520.0,,,,,CH
S.M. Isgrò Sagl,1227,Carouge,GE,174.0,345.0,519.0,,,,,CH
Enzoteca Malli,3083,Trimstein,BE,351.0,167.0,518.0,,,,,CH
Edelberg AG,6300,Zug,ZG,378.0,140.0,518.0,,,,,CH
viertel-kreis b2 gastro GmbH,4053,Basel,BS,260.0,257.0,517.0,,,,,CH
Top Of The Food GmbH,7500,St. Moritz,GR,191.0,325.0,516.0,,,,,CH
MHM Luzern GmbH,6005,Luzern,LU,212.0,302.0,514.0,,,,,CH
WELZ WEINHANDEL,4103,Bottmingen,BL,23.0,491.0,514.0,,,,,CH
Stuker Consulting,4052,Basel,BS,406.0,108.0,514.0,,,,,CH
ruma import fuchs,9050,Appenzell,AR,513.0,0.0,513.0,,,,,CH
Punto Auto GmbH,8057,Zürich,ZH,308.0,203.0,511.0,,,,,CH
Ferres Weine,6003,Luzern,LU,62.0,448.0,510.0,,,,,CH
MYO S.A.,1004,Lausanne,VD,45.0,464.0,509.0,,,,,CH
v7 bar gmbh,8512,Thundorf,TG,380.0,126.0,506.0,,,,,CH
Rina0204 GmbH,6032,Emmen,LU,401.0,104.0,505.0,,,,,CH
Weinschmuck GmbH,8044,Gockhausen,ZH,189.0,315.0,504.0,,,,,CH
Hotel La Romantica SA,7746,Le Prese,GR,500.0,0.0,500.0,,,,,CH
Aemme Getränke AG,3435,Ramsei,BE,468.0,32.0,500.0,,,,,CH
Arcadia Alpine GmbH,8820,Wädenswil,ZH,400.0,97.0,497.0,,,,,CH
Sorisma Sàrl,2318,Brot-Plamboz,NE,464.0,32.0,496.0,,,,,CH
Daniel und Mariana Meola GmbH,4577,Hessigkofen,SO,113.0,383.0,496.0,,,,,CH
Les Jardins de St-Vincent SA,1205,Genève,GE,193.0,303.0,496.0,,,,,CH
VAM.CH Sàrl,1255,Veyrier,GE,45.0,450.0,495.0,,,,,CH
Vasco Gastro GmbH,8304,Wallisellen,ZH,495.0,0.0,495.0,,,,,CH
Marti Delikatessen,4226,Breitenbach,SO,302.0,186.0,488.0,,,,,CH
Milvusmilvus Consulting GmbH,6430,Schwyz,SZ,486.0,0.0,486.0,,,,,CH
Paolo De Vecchi,7512,Champfèr,GR,486.0,0.0,486.0,,,,,CH
Made in Flavours KLG,5070,Frick,AG,189.0,293.0,482.0,,,,,CH
passione del vino GmbH,3911,Ried-Brig,VS,482.0,0.0,482.0,,,,,CH
Philippe Hefti Handels AG,9495,Triesen,FL,0.0,477.0,477.0,,,,,LI
Kühne. Import,6045,Meggen,LU,27.0,450.0,477.0,,,,,CH
Oterevus GmbH,5200,Brugg AG,AG,477.0,0.0,477.0,,,,,CH
Da Francesca,4133,Pratteln,BL,117.0,360.0,477.0,,,,,CH
Aris-Murtaröl AG,7517,Plaun da Lej,GR,93.0,382.0,475.0,,,,,CH
Cave Dubuis & Rudaz Sàrl,1950,Sion,VS,473.0,0.0,473.0,,,,,CH
Thalgut Erlebnisgastronomie AG,3115,Gerzensee,BE,360.0,113.0,473.0,,,,,CH
Costa Viola Import Borruto,8604,Volketswil,ZH,338.0,135.0,473.0,,,,,CH
APT Weine GmbH,8957,Spreitenbach,ZH,302.0,167.0,469.0,,,,,CH
A'PUTIA Sàrl,2735,Malleray,BE,353.0,116.0,469.0,,,,,CH
Restaurant le Mamounia,1201,Genève,GE,450.0,18.0,468.0,,,,,CH
Steyan Sàrl,1245,Collonge-Bellerive,GE,468.0,0.0,468.0,,,,,CH
Vinacria GmbH,5000,Aarau,AG,90.0,378.0,468.0,,,,,CH
Filoni Weinhandlung,6454,Flüelen,UR,402.0,65.0,467.0,,,,,CH
Wine Profit,6830,Chiasso,TI,443.0,24.0,467.0,,,,,CH
Domaine du Schlossberg,2520,La Neuveville,BE,465.0,0.0,465.0,,,,,CH
Olga editions Sàrl,1241,Puplinge,GE,464.0,0.0,464.0,,,,,CH
Restaurant du Moulin,2832,Rebeuvelier,JU,464.0,0.0,464.0,,,,,CH
Bell'Italia Sàrl,1868,Collombey,VS,459.0,0.0,459.0,,,,,CH
Jo Marques da Conceicao,6430,Schwyz,SZ,0.0,459.0,459.0,,,,,CH
Van de Boer GmbH,8600,Dübendorf,ZH,0.0,459.0,459.0,,,,,CH
Marelcom AG,8772,Nidfurn,GL,414.0,45.0,459.0,,,,,CH
Walter Amodio,8610,Uster,ZH,324.0,135.0,459.0,,,,,CH
LIDIA & AMATO SUISSE SARL,1215,Genève,GE,252.0,207.0,459.0,,,,,CH
Tartuferia Nardi AG,8008,Zürich,ZH,324.0,135.0,459.0,,,,,CH
Licka - magnum y más,8645,Jona,SG,382.0,77.0,459.0,,,,,CH
Roberto Chidichimo,9523,Züberwangen,SG,455.0,0.0,455.0,,,,,CH
Corminvest SA,1754,Avry-sur-Matran,FR,162.0,290.0,452.0,,,,,CH
Grains Nobles Sagl,6900,Lugano,TI,216.0,236.0,452.0,,,,,CH
Daniel Keller - Cave de Corseaux,1802,Corseaux,VD,0.0,452.0,452.0,,,,,CH
Lasagni Weine GmbH,4800,Zofingen,AG,0.0,452.0,452.0,,,,,CH
Viva Novo Sàrl,2114,Fleurier,NE,311.0,140.0,451.0,,,,,CH
Gastro Negrao GmbH,3018,Bern,BE,428.0,23.0,451.0,,,,,CH
Daniele Gaumenschmaus GmbH,8200,Schaffhausen,SH,451.0,0.0,451.0,,,,,CH
Vinoteca SalVino,8902,Urdorf,ZH,293.0,158.0,451.0,,,,,CH
Great Stone Europe Ltd.,6374,Buochs,NW,405.0,45.0,450.0,,,,,CH
HCH SA,6900,Lugano,TI,270.0,180.0,450.0,,,,,CH
Californie creatives Sàrl,2063,Fenin,NE,450.0,0.0,450.0,,,,,CH
Colectivo Anonimo GmbH,8048,Zürich,ZH,270.0,180.0,450.0,,,,,CH
Ruggiero Cornelia,4132,Muttenz,BL,450.0,0.0,450.0,,,,,CH
Reuss Gastro GmbH,8913,Ottenbach,ZH,225.0,225.0,450.0,,,,,CH
Bar Sixième Sens Sàrl,1920,Martigny,VS,450.0,0.0,450.0,,,,,CH
Béatrice Althoff Wein und Oliven,4052,Basel,BS,450.0,0.0,450.0,,,,,CH
Brasserie Montheysanne Isufi Sàrl,1870,Monthey,VS,450.0,0.0,450.0,,,,,CH
Anadrini GmbH,8953,Dietikon,ZH,0.0,450.0,450.0,,,,,CH
Rohrer's Weingenuss,3250,Lyss,BE,270.0,180.0,450.0,,,,,CH
riskart (Switzerland) SA,6976,Castagnola,TI,225.0,225.0,450.0,,,,,CH
Kulinarium Aktiengesellschaft,9493,Mauren FL,FL,0.0,450.0,450.0,,,,,LI
La Maison Kubanek,7017,Flims Dorf,GR,90.0,360.0,450.0,,,,,CH
Hotelwein.ch di Luca Foster,6616,Losone,TI,450.0,0.0,450.0,,,,,CH
Fine Wine Capital AG,6312,Steinhausen,ZG,112.0,337.0,449.0,,,,,CH
VinoRoo Kristian Doolan,1169,Yens,VD,276.0,171.0,447.0,,,,,CH
MoAn Sagl,6517,Arbedo,TI,445.0,0.0,445.0,,,,,CH
Frauchiger AG,3110,Münsingen,BE,345.0,96.0,441.0,,,,,CH
Paolo Vagnozzi Paolo's Catering,5225,Bözberg,AG,441.0,0.0,441.0,,,,,CH
aromo GmbH,8400,Winterthur,ZH,253.0,188.0,441.0,,,,,CH
Bruno Müller,8914,Aeugst am Albis,ZH,359.0,81.0,440.0,,,,,CH
B&B Weinkontor Aktiengesellschaft,9495,Triesen,FL,173.0,265.0,438.0,,,,,LI
Mountain Lodge Sedrun GmbH,7189,Rueras,GR,285.0,153.0,438.0,,,,,CH
Wine to me - Arnaud Boué,8053,Zürich,ZH,306.0,131.0,437.0,,,,,CH
WEINWERK GmbH,4147,Aesch BL,BL,437.0,0.0,437.0,,,,,CH
Hôtel Beau-Rivage SA Genève,1201,Genève,GE,18.0,419.0,437.0,,,,,CH
VINITALIA - Weinhandel Bayer,8302,Kloten,ZH,257.0,180.0,437.0,,,,,CH
SAN BERNARDINO DI MARCO BARBIERI,6557,Cama,GR,334.0,99.0,433.0,,,,,CH
Damaris Bourgeois,1338,Ballaigues,VD,432.0,0.0,432.0,,,,,CH
SAVEURS ET VINS Dos Santos Pipa,1032,Romanel-sur-Lausanne,VD,432.0,0.0,432.0,,,,,CH
Seehotel Delphin AG,5616,Meisterschwanden,AG,0.0,432.0,432.0,,,,,CH
Wood-Life Schreinerei,3800,Interlaken,BE,327.0,104.0,431.0,,,,,CH
REPSOLD Sàrl,1093,La Conversion,VD,429.0,0.0,429.0,,,,,CH
Weingut Clauss Verkaufsbüro,8212,Neuhausen,SH,167.0,261.0,428.0,,,,,CH
Sträuli Cape Wines,8600,Dübendorf,ZH,383.0,45.0,428.0,,,,,CH
altglas gmbh,6362,Stansstad,NW,390.0,36.0,426.0,,,,,CH
swisscoffeehouse.ch gmbh,3014,Bern,BE,257.0,168.0,425.0,,,,,CH
Torre Nova GmbH,8105,Watt,ZH,378.0,45.0,423.0,,,,,CH
Gauchat Vins,6900,Lugano,TI,296.0,126.0,422.0,,,,,CH
Posto Alto Sàrl,1907,Saxon,VS,421.0,0.0,421.0,,,,,CH
Turnei GmbH,8630,Rüti ZH,ZH,113.0,306.0,419.0,,,,,CH
HDT Sportzentrum Wetzikon AG,8620,Wetzikon ZH,ZH,360.0,59.0,419.0,,,,,CH
La Cave Patrimoniale Sàrl,1204,Genève,GE,419.0,0.0,419.0,,,,,CH
Les Barriques Zesiger,2552,Orpund,BE,302.0,115.0,417.0,,,,,CH
BORGO DEL GUSTO SAGL,6946,Ponte Capriasca,TI,339.0,77.0,416.0,,,,,CH
Vinowere GmbH,8617,Mönchaltorf,ZH,203.0,212.0,415.0,,,,,CH
AD Swiss Solutions Sàrl,1227,Carouge,GE,270.0,144.0,414.0,,,,,CH
Heinz Fischer + Giovanni Vadori,5610,Wohlen AG,AG,207.0,202.0,409.0,,,,,CH
FRIWA Trading Sàrl,3280,Murten,FR,236.0,171.0,407.0,,,,,CH
Genossenschaft HALB-HALB,7422,Tartar,GR,294.0,113.0,407.0,,,,,CH
Fernando António Teixeira da Costa,9400,Rorschach,SG,293.0,113.0,406.0,,,,,CH
Sauvage GmbH,2502,Biel/Bienne,BE,405.0,0.0,405.0,,,,,CH
Evolysta GmbH,8104,Weiningen ZH,ZH,405.0,0.0,405.0,,,,,CH
Electronova Dragone,4663,Aarburg,AG,405.0,0.0,405.0,,,,,CH
vindemia Daniel Frischknecht,8617,Mönchaltorf,ZH,225.0,180.0,405.0,,,,,CH
"Weine ""Villa Mottura"" Jörg Nickel",6010,Kriens,LU,405.0,0.0,405.0,,,,,CH
Vini Della Valle,8820,Wädenswil,ZH,135.0,270.0,405.0,,,,,CH
Buongustaio Restaurant,6443,Morschach,SZ,270.0,135.0,405.0,,,,,CH
QuantumBio Sàrl,1292,Pregny-Chambésy,GE,225.0,176.0,401.0,,,,,CH
Restaurant zur Post GmbH,4533,Riedholz,SO,201.0,198.0,399.0,,,,,CH
Restaurant Laterne Kostas,6452,Sisikon,SZ,341.0,58.0,399.0,,,,,CH
Robbe Weine,8123,Ebmatingen,ZH,182.0,216.0,398.0,,,,,CH
Tierra Bonita GmbH,4450,Sissach,BL,198.0,198.0,396.0,,,,,CH
Tissa Marketing Frick GmbH,5070,Frick,AG,0.0,396.0,396.0,,,,,CH
Marco Berini-Albergo Unione,6500,Bellinzona,TI,392.0,0.0,392.0,,,,,CH
F & B Activities SA,6883,Novazzano,TI,351.0,41.0,392.0,,,,,CH
Europe Informations,6900,Lugano,TI,144.0,248.0,392.0,,,,,CH
Azienda vinicola l'Orizzonte Sagl,6503,Bellinzona,TI,285.0,104.0,389.0,,,,,CH
MEMA Sarl,1026,Echandens,VD,383.0,5.0,388.0,,,,,CH
Lischewski ImEx KGL,1753,Matran,FR,388.0,0.0,388.0,,,,,CH
B-Consult GmbH,4314,Zeiningen,AG,243.0,144.0,387.0,,,,,CH
Import Tri-Vino Ricci,1358,Valeyres-Rances,VD,387.0,0.0,387.0,,,,,CH
Toppharm Apotheke Gellert AG,4020,Basel,BS,90.0,293.0,383.0,,,,,CH
Beirut Bistrot Sàrl,1201,Genève,GE,266.0,117.0,383.0,,,,,CH
Vin de garage corporation AG,6010,Kriens,LU,338.0,45.0,383.0,,,,,CH
minichef GmbH,3014,Bern,BE,239.0,140.0,379.0,,,,,CH
Polydias SA,6900,Lugano,TI,298.0,81.0,379.0,,,,,CH
Sicas SA,6830,Chiasso,TI,333.0,45.0,378.0,,,,,CH
BagBrands Sàrl,1630,Bulle,FR,378.0,0.0,378.0,,,,,CH
Caroline Dessort Wine Secrets,4051,Basel,BS,378.0,0.0,378.0,,,,,CH
R + B Weine GmbH,3953,Leuk Stadt,VS,378.0,0.0,378.0,,,,,CH
Toasted Concept SA,1205,Genève,GE,240.0,135.0,375.0,,,,,CH
Erimex SA,6830,Chiasso,TI,365.0,9.0,374.0,,,,,CH
azivita GmbH,8877,Murg,SG,374.0,0.0,374.0,,,,,CH
Wy-Boutique Vinothek Graf,2552,Orpund,BE,360.0,14.0,374.0,,,,,CH
ATHINA Consulting GmbH,8800,Thalwil,ZH,353.0,18.0,371.0,,,,,CH
Lebensmittelhandel Blaser,4051,Basel,BS,365.0,0.0,365.0,,,,,CH
Bürgisweyerbad AG,4934,Madiswil,BE,0.0,365.0,365.0,,,,,CH
Loricave Sàrl,2000,Neuchâtel,NE,227.0,134.0,361.0,,,,,CH
Wine Collection Lutz,3664,Burgistein,BE,266.0,95.0,361.0,,,,,CH
AA'S. Cash & Carry AG,3920,Zermatt,VS,293.0,68.0,361.0,,,,,CH
Dietsche WWG,8800,Thalwil,ZH,360.0,0.0,360.0,,,,,CH
Ehrenbold H. Weine,8598,Bottighofen,TG,0.0,360.0,360.0,,,,,CH
AG Sporthotel Stoos,6433,Stoos SZ,SZ,0.0,360.0,360.0,,,,,CH
Weinselektionen Nietlispach,3506,Grosshöchstetten,BE,288.0,72.0,360.0,,,,,CH
Vinovin GmbH,6055,Alpnach Dorf,OW,162.0,198.0,360.0,,,,,CH
BÜRKI VINI klg,8824,Schönenberg ZH,ZH,288.0,71.0,359.0,,,,,CH
Ginii With A Bottle Inh. Porsche,8196,Wil ZH,ZH,209.0,149.0,358.0,,,,,CH
Biancorosso AG,8004,Zürich,ZH,77.0,279.0,356.0,,,,,CH
weinpassion gmbh,8800,Thalwil,ZH,248.0,108.0,356.0,,,,,CH
Filenia GmbH,8800,Thalwil,ZH,135.0,221.0,356.0,,,,,CH
MAISON PACHE SARL,1204,Genève,GE,212.0,144.0,356.0,,,,,CH
BTHC AG,8834,Schindellegi,SZ,209.0,146.0,355.0,,,,,CH
Hotel Bellaval AG,7550,Scuol,GR,354.0,0.0,354.0,,,,,CH
Schwert da Gennaro e Gabriela GmbH,5330,Bad Zurzach,AG,277.0,77.0,354.0,,,,,CH
AG Hotel Chesa Grischuna,7250,Klosters,GR,352.0,0.0,352.0,,,,,CH
Mexican Products GmbH,8005,Zürich,ZH,279.0,72.0,351.0,,,,,CH
WFZ AG,8824,Schönenberg ZH,ZH,237.0,113.0,350.0,,,,,CH
Giavazzi Consulting&Trading GmbH,8424,Embrach,ZH,258.0,90.0,348.0,,,,,CH
José Manuel Lopez Gonzalez,1814,La Tour-de-Peilz,VD,347.0,0.0,347.0,,,,,CH
Gysin onWine,8918,Unterlunkhofen,AG,347.0,0.0,347.0,,,,,CH
TOUT 1 FROMAGE SA,1227,Les Acacias,GE,347.0,0.0,347.0,,,,,CH
C. Albrecht Feinkost AG,4125,Riehen,BL,180.0,167.0,347.0,,,,,CH
Luca'S Food di Andrea Luca,6814,Lamone-Cadempino,TI,113.0,230.0,343.0,,,,,CH
NJ Consult Swiss GmbH,4123,Allschwil,BL,266.0,77.0,343.0,,,,,CH
Gevos GmbH,4051,Basel,BS,207.0,135.0,342.0,,,,,CH
La Cave du P'tit Pressoir Sàrl,2016,Cortaillod,NE,340.0,0.0,340.0,,,,,CH
